period;month;year;depart;int_cur;vol;int_prev
1;2;2017;1;1308;335654,9886;1194
2;3;2017;1;1436;419891,0629;1308
3;4;2017;1;1669;307325,3889;1436
4;5;2017;1;1590;447672,1981;1669
5;6;2017;1;1513;373397,9858;1590
6;7;2017;1;1516;366323,188;1513
7;8;2017;1;1538;478091,4569;1516
8;9;2017;1;2031;450846,591;1538
9;10;2017;1;2865;698684,1151;2031
10;11;2017;1;3600;655816,3052;2865
11;12;2017;1;4140;728123,8033;3600
12;1;2018;1;2621;338005,1567;4140
13;2;2018;1;2802;401883,2859;2621
14;3;2018;1;3536;409566,078;2802
15;4;2018;1;4410;401122,1323;3536
16;5;2018;1;2656;499575,1376;4410
17;6;2018;1;3367;268341,8456;2656
18;7;2018;1;2399;448356,3207;3367
19;8;2018;1;2532;651602,749;2399
20;9;2018;1;2672;423751,1248;2532
21;10;2018;1;3418;820922,0996;2672
22;11;2018;1;2578;839591,9022;3418
23;12;2018;1;2996;444116,3961;2578
1;2;2017;2;558;229064,2851;465
2;3;2017;2;587;271238,1544;558
3;4;2017;2;581;325823,072;587
4;5;2017;2;588;275265,9089;581
5;6;2017;2;689;278337,4177;588
6;7;2017;2;887;302686,9408;689
7;8;2017;2;1252;398030,966;887
8;9;2017;2;1217;412825,6967;1252
9;10;2017;2;1215;388627,6489;1217
10;11;2017;2;1384;398596,4958;1215
11;12;2017;2;1124;438288,432;1384
12;1;2018;2;939;294897,5588;1124
13;2;2018;2;818;307593,9145;939
14;3;2018;2;737;335532,9241;818
15;4;2018;2;849;223954,6952;737
16;5;2018;2;730;213162,3881;849
17;6;2018;2;623;208989,7804;730
18;7;2018;2;652;177568,763;623
19;8;2018;2;662;214037,3795;652
20;9;2018;2;600;270696,8663;662
21;10;2018;2;667;325740,9352;600
22;11;2018;2;601;317934,7515;667
23;12;2018;2;543;211905,6893;601
1;2;2017;3;215;145050,0723;189
2;3;2017;3;228;189524,1587;215
3;4;2017;3;272;151749,2231;228
4;5;2017;3;352;187635,655;272
5;6;2017;3;387;188072,5967;352
6;7;2017;3;454;330218,8367;387
7;8;2017;3;466;278795,9871;454
8;9;2017;3;365;288739,5643;466
9;10;2017;3;396;291694,58;365
10;11;2017;3;367;301594,439;396
11;12;2017;3;233;255539,0967;367
12;1;2018;3;310;151816,9765;233
13;2;2018;3;301;194727,9226;310
14;3;2018;3;347;252115,1099;301
15;4;2018;3;309;131003,0875;347
16;5;2018;3;347;209085,8923;309
17;6;2018;3;276;298321,752;347
18;7;2018;3;361;237412,9223;276
19;8;2018;3;455;272492,1925;361
20;9;2018;3;553;319995,4889;455
21;10;2018;3;596;472701,8732;553
22;11;2018;3;552;430380,1533;596
23;12;2018;3;573;356610,8996;552
